[Gloo] Rank 0 is connected to 0 peer ranks. Expected number of connected peer ranks is : 0
TokenMonster vocab loaded successfully, bpb metrics enabled
Downloading (incomplete total...): 0.00B [00:00, ?B/s]                                                                                                                 Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.          | 0/4 [00:00<?, ?it/s]
Fetching 4 files: 100%|███████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 4/4 [00:02<00:00,  1.74it/s]
Download complete: : 812MB [00:02, 834MB/s]              logs/d4d32bf6-4846-41b2-8730-d6f4dc1a401f.txt                                    | 1/4 [00:02<00:06,  2.30s/it]
Download complete: : 812MB [00:06, 118MB/s]
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 495, 496, 497, 498, 991, 992, 993, 994, 1488, 1489, 1490, 1491] for warmup
Resetting Model
step:0/1530 val_loss[approx]:10.1720npt val_loss[exact]:3.2174bpb val_acc:0.03% train_time:0ms step_avg:0.05ms
step:228/1530 train_time:72725ms step_avg:318.97ms
step:229/1530 train_time:73046ms step_avg:318.98ms
step:230/1530 train_time:73366ms step_avg:318.98ms
step:231/1530 train_time:73686ms step_avg:318.99ms
step:232/1530 train_time:74006ms step_avg:318.99ms
step:233/1530 train_time:74326ms step_avg:319.00ms
step:234/1530 train_time:74646ms step_avg:319.00ms
step:235/1530 train_time:74966ms step_avg:319.00ms
step:236/1530 train_time:75286ms step_avg:319.01ms
step:237/1530 train_time:75606ms step_avg:319.01ms
step:238/1530 train_time:75926ms step_avg:319.02ms
step:239/1530 train_time:76246ms step_avg:319.02ms
step:240/1530 train_time:76566ms step_avg:319.02ms
step:241/1530 train_time:76886ms step_avg:319.03ms
step:242/1530 train_time:77205ms step_avg:319.03ms
step:243/1530 train_time:77525ms step_avg:319.03ms
step:244/1530 train_time:77844ms step_avg:319.03ms
step:245/1530 train_time:78166ms step_avg:319.04ms
step:246/1530 train_time:78485ms step_avg:319.04ms
step:247/1530 train_time:78804ms step_avg:319.05ms
step:248/1530 train_time:79124ms step_avg:319.05ms
step:249/1530 train_time:79444ms step_avg:319.05ms
step:250/1530 train_time:79764ms step_avg:319.05ms
step:250/1530 val_loss[approx]:4.4779npt val_loss[exact]:1.4164bpb val_acc:18.19% train_time:79830ms step_avg:319.32ms
step:251/1530 train_time:80084ms step_avg:319.06ms
step:252/1530 train_time:80400ms step_avg:319.05ms
step:253/1530 train_time:80717ms step_avg:319.04ms
step:254/1530 train_time:81035ms step_avg:319.04ms
step:255/1530 train_time:81354ms step_avg:319.03ms
step:256/1530 train_time:81672ms step_avg:319.03ms
step:257/1530 train_time:81991ms step_avg:319.03ms
step:258/1530 train_time:82309ms step_avg:319.03ms
step:259/1530 train_time:82628ms step_avg:319.03ms
step:260/1530 train_time:82947ms step_avg:319.03ms
step:261/1530 train_time:83267ms step_avg:319.03ms
step:262/1530 train_time:83584ms step_avg:319.02ms
step:263/1530 train_time:83902ms step_avg:319.02ms
step:264/1530 train_time:84220ms step_avg:319.01ms
step:265/1530 train_time:84536ms step_avg:319.00ms
step:266/1530 train_time:84854ms step_avg:319.00ms
step:267/1530 train_time:85172ms step_avg:319.00ms
step:268/1530 train_time:85490ms step_avg:318.99ms
step:269/1530 train_time:85809ms step_avg:318.99ms
step:270/1530 train_time:86127ms step_avg:318.99ms
step:271/1530 train_time:86445ms step_avg:318.99ms
step:272/1530 train_time:86763ms step_avg:318.98ms
step:273/1530 train_time:87080ms step_avg:318.98ms
step:274/1530 train_time:87397ms step_avg:318.97ms
step:275/1530 train_time:87714ms step_avg:318.96ms
step:276/1530 train_time:88032ms step_avg:318.96ms
step:277/1530 train_time:88350ms step_avg:318.95ms
step:278/1530 train_time:88668ms step_avg:318.95ms
step:279/1530 train_time:88987ms step_avg:318.95ms
step:280/1530 train_time:89304ms step_avg:318.94ms
step:281/1530 train_time:89623ms step_avg:318.94ms
step:282/1530 train_time:89939ms step_avg:318.93ms
step:283/1530 train_time:90255ms step_avg:318.92ms
step:284/1530 train_time:90572ms step_avg:318.91ms
step:285/1530 train_time:90890ms step_avg:318.91ms
step:286/1530 train_time:91207ms step_avg:318.90ms
step:287/1530 train_time:91525ms step_avg:318.90ms
step:288/1530 train_time:91842ms step_avg:318.90ms
step:289/1530 train_time:92159ms step_avg:318.89ms
step:290/1530 train_time:92475ms step_avg:318.88ms
step:291/1530 train_time:92792ms step_avg:318.87ms
step:292/1530 train_time:93110ms step_avg:318.87ms
step:293/1530 train_time:93428ms step_avg:318.87ms
step:294/1530 train_time:93746ms step_avg:318.87ms
step:295/1530 train_time:94064ms step_avg:318.86ms
step:296/1530 train_time:94379ms step_avg:318.85ms
step:297/1530 train_time:94696ms step_avg:318.84ms
step:298/1530 train_time:95013ms step_avg:318.83ms
step:299/1530 train_time:95331ms step_avg:318.83ms
step:300/1530 train_time:95648ms step_avg:318.83ms
step:301/1530 train_time:95967ms step_avg:318.83ms
step:302/1530 train_time:96284ms step_avg:318.82ms
step:303/1530 train_time:96599ms step_avg:318.81ms
step:304/1530 train_time:96916ms step_avg:318.80ms
step:305/1530 train_time:97232ms step_avg:318.79ms
step:306/1530 train_time:97550ms step_avg:318.79ms
step:307/1530 train_time:97869ms step_avg:318.79ms
step:308/1530 train_time:98186ms step_avg:318.78ms
step:309/1530 train_time:98503ms step_avg:318.78ms
step:310/1530 train_time:98818ms step_avg:318.77ms
step:311/1530 train_time:99135ms step_avg:318.76ms
step:312/1530 train_time:99452ms step_avg:318.76ms
step:313/1530 train_time:99770ms step_avg:318.75ms
step:314/1530 train_time:100087ms step_avg:318.75ms
step:315/1530 train_time:100404ms step_avg:318.74ms
step:316/1530 train_time:100721ms step_avg:318.74ms
step:317/1530 train_time:101036ms step_avg:318.73ms
step:318/1530 train_time:101352ms step_avg:318.72ms
step:319/1530 train_time:101671ms step_avg:318.72ms
step:320/1530 train_time:101987ms step_avg:318.71ms
step:321/1530 train_time:102304ms step_avg:318.71ms
step:322/1530 train_time:102620ms step_avg:318.70ms
step:323/1530 train_time:102936ms step_avg:318.69ms
step:324/1530 train_time:103252ms step_avg:318.68ms
step:325/1530 train_time:103570ms step_avg:318.68ms
step:326/1530 train_time:103887ms step_avg:318.67ms
step:327/1530 train_time:104204ms step_avg:318.67ms
step:328/1530 train_time:104520ms step_avg:318.66ms
step:329/1530 train_time:104836ms step_avg:318.65ms
step:330/1530 train_time:105151ms step_avg:318.64ms
step:331/1530 train_time:105469ms step_avg:318.64ms
step:332/1530 train_time:105786ms step_avg:318.63ms
step:333/1530 train_time:106103ms step_avg:318.63ms
step:334/1530 train_time:106418ms step_avg:318.62ms
step:335/1530 train_time:106736ms step_avg:318.61ms
step:336/1530 train_time:107052ms step_avg:318.61ms
step:337/1530 train_time:107369ms step_avg:318.60ms
step:338/1530 train_time:107686ms step_avg:318.60ms
step:339/1530 train_time:108003ms step_avg:318.59ms
step:340/1530 train_time:108317ms step_avg:318.58ms
step:341/1530 train_time:108633ms step_avg:318.57ms
step:342/1530 train_time:108950ms step_avg:318.57ms
step:343/1530 train_time:109268ms step_avg:318.56ms
step:344/1530 train_time:109583ms step_avg:318.56ms
step:345/1530 train_time:109899ms step_avg:318.55ms
step:346/1530 train_time:110215ms step_avg:318.54ms
step:347/1530 train_time:110531ms step_avg:318.53ms
step:348/1530 train_time:110848ms step_avg:318.53ms
step:349/1530 train_time:111165ms step_avg:318.53ms
step:350/1530 train_time:111479ms step_avg:318.51ms
step:351/1530 train_time:111796ms step_avg:318.51ms
step:352/1530 train_time:112112ms step_avg:318.50ms
step:353/1530 train_time:112428ms step_avg:318.49ms
step:354/1530 train_time:112746ms step_avg:318.49ms
step:355/1530 train_time:113062ms step_avg:318.48ms
step:356/1530 train_time:113376ms step_avg:318.47ms
step:357/1530 train_time:113693ms step_avg:318.47ms
step:358/1530 train_time:114009ms step_avg:318.46ms
step:359/1530 train_time:114327ms step_avg:318.46ms
step:360/1530 train_time:114642ms step_avg:318.45ms
step:361/1530 train_time:114958ms step_avg:318.44ms
step:362/1530 train_time:115273ms step_avg:318.43ms
step:363/1530 train_time:115590ms step_avg:318.43ms
step:364/1530 train_time:115907ms step_avg:318.43ms
