[Gloo] Rank 0 is connected to 0 peer ranks. Expected number of connected peer ranks is : 0
TokenMonster vocab loaded successfully, bpb metrics enabled
Fetching 4 files: 100%|███████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 4/4 [00:01<00:00,  2.12it/s]
Download complete: : 812MB [00:01, 468MB/s]                                                                                                                             logs/876ebdc1-3d37-4252-ba6b-e609379d77ea.txt
Download complete: : 812MB [00:05, 143MB/s]
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 495, 496, 497, 498, 991, 992, 993, 994, 1488, 1489, 1490, 1491] for warmup
Resetting Model
step:0/1530 val_loss[approx]:10.1716npt val_loss[exact]:3.2172bpb val_acc:0.03% train_time:0ms step_avg:0.04ms
step:356/1530 train_time:114800ms step_avg:322.47ms
step:357/1530 train_time:115119ms step_avg:322.46ms
step:358/1530 train_time:115439ms step_avg:322.46ms
step:359/1530 train_time:115760ms step_avg:322.45ms
step:360/1530 train_time:116079ms step_avg:322.44ms
step:361/1530 train_time:116399ms step_avg:322.44ms
step:362/1530 train_time:116719ms step_avg:322.43ms
step:363/1530 train_time:117038ms step_avg:322.42ms
step:364/1530 train_time:117359ms step_avg:322.41ms
step:365/1530 train_time:117680ms step_avg:322.41ms
step:366/1530 train_time:117998ms step_avg:322.40ms
step:367/1530 train_time:118318ms step_avg:322.39ms
step:368/1530 train_time:118639ms step_avg:322.39ms
step:369/1530 train_time:118959ms step_avg:322.38ms
step:370/1530 train_time:119279ms step_avg:322.38ms
step:371/1530 train_time:119600ms step_avg:322.37ms
step:372/1530 train_time:119920ms step_avg:322.37ms
step:373/1530 train_time:120239ms step_avg:322.36ms
step:374/1530 train_time:120559ms step_avg:322.35ms
step:375/1530 train_time:120880ms step_avg:322.35ms
step:376/1530 train_time:121199ms step_avg:322.34ms
step:377/1530 train_time:121520ms step_avg:322.33ms
step:378/1530 train_time:121840ms step_avg:322.33ms
step:379/1530 train_time:122160ms step_avg:322.32ms
step:380/1530 train_time:122480ms step_avg:322.31ms
step:381/1530 train_time:122800ms step_avg:322.31ms
step:382/1530 train_time:123119ms step_avg:322.30ms
step:383/1530 train_time:123439ms step_avg:322.30ms
step:384/1530 train_time:123760ms step_avg:322.29ms
step:385/1530 train_time:124079ms step_avg:322.28ms
step:386/1530 train_time:124399ms step_avg:322.28ms
step:387/1530 train_time:124720ms step_avg:322.27ms
step:388/1530 train_time:125039ms step_avg:322.27ms
step:389/1530 train_time:125359ms step_avg:322.26ms
step:390/1530 train_time:125679ms step_avg:322.25ms
step:391/1530 train_time:126000ms step_avg:322.25ms
step:392/1530 train_time:126319ms step_avg:322.24ms
step:393/1530 train_time:126639ms step_avg:322.24ms
step:394/1530 train_time:126959ms step_avg:322.23ms
step:395/1530 train_time:127279ms step_avg:322.23ms
step:396/1530 train_time:127599ms step_avg:322.22ms
step:397/1530 train_time:127919ms step_avg:322.21ms
step:398/1530 train_time:128239ms step_avg:322.21ms
step:399/1530 train_time:128559ms step_avg:322.20ms
step:400/1530 train_time:128879ms step_avg:322.20ms
step:401/1530 train_time:129199ms step_avg:322.19ms
step:402/1530 train_time:129519ms step_avg:322.19ms
step:403/1530 train_time:129840ms step_avg:322.18ms
step:404/1530 train_time:130159ms step_avg:322.18ms
step:405/1530 train_time:130480ms step_avg:322.17ms
step:406/1530 train_time:130799ms step_avg:322.16ms
step:407/1530 train_time:131119ms step_avg:322.16ms
step:408/1530 train_time:131439ms step_avg:322.15ms
step:409/1530 train_time:131759ms step_avg:322.15ms
step:410/1530 train_time:132079ms step_avg:322.14ms
step:411/1530 train_time:132399ms step_avg:322.14ms
step:412/1530 train_time:132719ms step_avg:322.13ms
step:413/1530 train_time:133039ms step_avg:322.13ms
step:414/1530 train_time:133359ms step_avg:322.12ms
step:415/1530 train_time:133679ms step_avg:322.12ms
step:416/1530 train_time:133999ms step_avg:322.11ms
step:417/1530 train_time:134318ms step_avg:322.11ms
step:418/1530 train_time:134638ms step_avg:322.10ms
step:419/1530 train_time:134959ms step_avg:322.10ms
step:420/1530 train_time:135279ms step_avg:322.09ms
step:421/1530 train_time:135599ms step_avg:322.09ms
step:422/1530 train_time:135918ms step_avg:322.08ms
step:423/1530 train_time:136239ms step_avg:322.08ms
step:424/1530 train_time:136559ms step_avg:322.07ms
step:425/1530 train_time:136879ms step_avg:322.07ms
step:426/1530 train_time:137199ms step_avg:322.06ms
step:427/1530 train_time:137519ms step_avg:322.06ms
step:428/1530 train_time:137839ms step_avg:322.05ms
step:429/1530 train_time:138159ms step_avg:322.05ms
step:430/1530 train_time:138479ms step_avg:322.04ms
step:431/1530 train_time:138799ms step_avg:322.04ms
step:432/1530 train_time:139119ms step_avg:322.04ms
step:433/1530 train_time:139440ms step_avg:322.03ms
step:434/1530 train_time:139759ms step_avg:322.02ms
step:435/1530 train_time:140079ms step_avg:322.02ms
step:436/1530 train_time:140399ms step_avg:322.02ms
step:437/1530 train_time:140719ms step_avg:322.01ms
step:438/1530 train_time:141039ms step_avg:322.01ms
step:439/1530 train_time:141359ms step_avg:322.00ms
step:440/1530 train_time:141679ms step_avg:322.00ms
step:441/1530 train_time:142000ms step_avg:322.00ms
step:442/1530 train_time:142319ms step_avg:321.99ms
step:443/1530 train_time:142640ms step_avg:321.99ms
step:444/1530 train_time:142959ms step_avg:321.98ms
step:445/1530 train_time:143279ms step_avg:321.97ms
step:446/1530 train_time:143599ms step_avg:321.97ms
step:447/1530 train_time:143920ms step_avg:321.97ms
step:448/1530 train_time:144238ms step_avg:321.96ms
step:449/1530 train_time:144559ms step_avg:321.96ms
step:450/1530 train_time:144879ms step_avg:321.95ms
step:451/1530 train_time:145198ms step_avg:321.95ms
step:452/1530 train_time:145519ms step_avg:321.94ms
step:453/1530 train_time:145839ms step_avg:321.94ms
step:454/1530 train_time:146159ms step_avg:321.94ms
step:455/1530 train_time:146479ms step_avg:321.93ms
step:456/1530 train_time:146799ms step_avg:321.93ms
step:457/1530 train_time:147119ms step_avg:321.92ms
step:458/1530 train_time:147438ms step_avg:321.92ms
step:459/1530 train_time:147759ms step_avg:321.92ms
step:460/1530 train_time:148078ms step_avg:321.91ms
step:461/1530 train_time:148398ms step_avg:321.90ms
step:462/1530 train_time:148719ms step_avg:321.90ms
step:463/1530 train_time:149039ms step_avg:321.90ms
step:464/1530 train_time:149358ms step_avg:321.89ms
step:465/1530 train_time:149679ms step_avg:321.89ms
step:466/1530 train_time:149998ms step_avg:321.88ms
step:467/1530 train_time:150318ms step_avg:321.88ms
step:468/1530 train_time:150638ms step_avg:321.88ms
step:469/1530 train_time:150959ms step_avg:321.87ms
step:470/1530 train_time:151278ms step_avg:321.87ms
step:471/1530 train_time:151599ms step_avg:321.87ms
step:472/1530 train_time:151918ms step_avg:321.86ms
step:473/1530 train_time:152238ms step_avg:321.86ms
step:474/1530 train_time:152559ms step_avg:321.85ms
step:475/1530 train_time:152879ms step_avg:321.85ms
step:476/1530 train_time:153197ms step_avg:321.84ms
step:477/1530 train_time:153518ms step_avg:321.84ms
step:478/1530 train_time:153837ms step_avg:321.84ms
step:479/1530 train_time:154157ms step_avg:321.83ms
step:480/1530 train_time:154477ms step_avg:321.83ms
step:481/1530 train_time:154798ms step_avg:321.82ms
step:482/1530 train_time:155117ms step_avg:321.82ms
step:483/1530 train_time:155437ms step_avg:321.82ms
step:484/1530 train_time:155758ms step_avg:321.81ms
step:485/1530 train_time:156078ms step_avg:321.81ms
step:486/1530 train_time:156397ms step_avg:321.80ms
step:487/1530 train_time:156718ms step_avg:321.80ms
step:488/1530 train_time:157038ms step_avg:321.80ms
step:489/1530 train_time:157358ms step_avg:321.80ms
step:490/1530 train_time:157678ms step_avg:321.79ms
step:491/1530 train_time:157998ms step_avg:321.79ms
step:492/1530 train_time:158318ms step_avg:321.78ms
